category,confidence,reasoning,txn_id,description
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14169,EKS cluster management fee - 12 node pools microservices
Hardware & Equipment,0.55,Description references physical hardware or equipment (laptop).,TXN-14171,Dell XPS 15 - data scientist laptop 3 units
Travel & Transport,0.55,Description references travel or transport (airport).,TXN-14172,Ride to airport BLR T2 - early morning investor meeting
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14173,Coursera for Business annual - 50 seat upskilling program
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,TXN-14174,Workday HCM annual subscription - 800 employee org
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14175,Marriott Mumbai - 3 nights executive suite investor roadshow
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14176,Marriott Mumbai - 3 nights executive suite investor roadshow
Travel & Transport,0.55,Description references travel or transport (boarding).,TXN-14177,Miro Team annual - whiteboarding 45 seats
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-14178,Outstation cab DEL-NCR client visit - full day rental
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,EXP-14179,New Relic Full Platform annual - 100GB data ingest
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14180,Personal Myntra purchase - clothing item non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14181,Marriott Mumbai - 3 nights executive suite investor roadshow
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14183,Cloudflare Teams Zero Trust annual - 500 user pack
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14185,Snowflake compute credits - data warehouse Q3 usage
Travel & Transport,0.84,"Description references travel or transport (flight, indigo).",REF-14186,Vendor credit - flight cancellation refund IndiGo BLR-DEL
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14187,Personal Myntra purchase - clothing item non-business
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14188,Anthropic API credits - Claude Sonnet production batch
Hardware & Equipment,0.55,Description references physical hardware or equipment (chair).,TXN-14190,Herman Miller Aeron chairs - 10 units ergonomic upgrade
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-14192,Corporate cab account monthly - engineering late-night cabs April
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (adobe, creative cloud).",TXN-14193,Adobe Creative Cloud All Apps annual - 20 seats
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14194,BillDesk payment gateway annual maintenance fee
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-14195,Payment gateway monthly transaction processing fees - June cycle
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (adobe).,TXN-14196,Adobe Sign e-signature pack - 200 contract credits annual plan
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (subscription).,EXP-14197,Workday HCM annual subscription - 800 employee org
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14198,dbt Cloud Team annual - data transformation 10 dev seats
Finance & Banking,0.55,Description references financial services or payment processing (gateway).,TXN-14199,Payment gateway monthly transaction processing fees - June cycle
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14201,ERP module annual maintenance - finance and procurement
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14202,Office stationery bulk order Q2 - paper pens notebooks
Finance & Banking,0.55,Description references financial services or payment processing (forex).,CLM-14204,FEMA compliance advisory - cross-border forex transactions
Travel & Transport,0.84,"Description references travel or transport (flight, bus).",REF-14205,Flight HYD-JFK for New York investor roadshow - 2 pax business
Travel & Transport,0.55,Description references travel or transport (ola).,TXN-14206,ITC Grand Chola Chennai - 4 nights client summit stay
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14207,Datadog Log Management annual - 50GB per day retention
Travel & Transport,0.55,Description references travel or transport (train).,TXN-14208,Radisson Blu Hyderabad - 6 nights team training programme
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14209,Freshdesk Growth annual - support platform 25 agents
Personal Expense,0.84,"Description contains personal-use indicators (personal, gym).",TXN-14210,Gym membership personal - Cult.fit annual plan
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-14211,Corporate cab account monthly - engineering late-night cabs April
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-14212,Personal Amazon Prime annual renewal - home account
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (s3).,TXN-14213,S3 Glacier archival fees - compliance data retention 7yr policy
SaaS Subscriptions,0.55,Description references a known SaaS product or subscription term (figma).,TXN-14214,Figma Enterprise plan annual - 80 cross-functional seats
Meals & Catering,0.55,Description references food/catering context (dinner).,TXN-14215,Investor roadshow dinner - 6 guests fine dining
Travel & Transport,0.66,"Description references travel or transport (flight, travel).",TXN-14216,Spouse flight ticket - accompanied personal travel
Travel & Transport,0.55,Description references travel or transport (ola).,TXN-14217,ITC Grand Chola Chennai - 4 nights client summit stay
Meals & Catering,0.84,"Description references food/catering context (lunch, tea).",TXN-14218,Team lunch - product sprint retrospective 15 pax
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (azure).,TXN-14219,Azure DevOps pipeline minutes - CI/CD build farm overrun
Travel & Transport,0.55,Description references travel or transport (flight).,REF-14221,Bulk flight bookings Q2 team offsite Bengaluru - 25 tickets BLR-DEL
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14222,Datadog Log Management annual - 50GB per day retention
Personal Expense,0.66,"Description contains personal-use indicators (personal, netflix).",TXN-14224,Personal Netflix subscription - accidentally on corporate card
Meals & Catering,0.55,Description references food/catering context (dinner).,PMT-14226,Investor roadshow dinner - 6 guests fine dining
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (zoom, renewal).",TXN-14227,Zoom Workplace Pro annual renewal - 500 seats
Travel & Transport,0.55,Description references travel or transport (bus).,TXN-14228,Personal Swiggy order - home delivery non-business expense
Travel & Transport,0.95,"Description references travel or transport (cab, bus, airport, travel).",TXN-14230,Airport cab drop - personal vacation travel to Goa non-business
Meals & Catering,0.55,Description references food/catering context (catering).,TXN-14231,Catering for Q1 product roadmap planning workshop - 120 pax
Miscellaneous,0.45,No recognisable keywords matched any known expense category.,TXN-14233,Hugging Face Enterprise Hub annual - model hosting
Finance & Banking,0.55,Description references financial services or payment processing (bank).,TXN-14234,Chargeback - fraudulent transaction reversed by bank
SaaS Subscriptions,0.66,"Description references a known SaaS product or subscription term (jira, confluence).",TXN-14235,Atlassian Cloud bundle - Jira + Confluence 300 users annual
Travel & Transport,0.55,Description references travel or transport (flight).,CLM-14236,Flight BLR-AMS for Amsterdam engineering summit - 2 pax
Hardware & Equipment,0.55,Description references physical hardware or equipment (desk).,TXN-14237,Standing desk Flexispot E7 - 5 units health initiative
Personal Expense,0.55,Description contains personal-use indicators (personal).,TXN-14238,Personal Airtel mobile recharge - home number
Cloud Infrastructure,0.55,Description references cloud compute/storage terms (cloud).,TXN-14241,GitHub Enterprise Cloud annual - 150 developer seats
Personal Expense,0.66,"Description contains personal-use indicators (personal, amazon prime).",TXN-14243,Personal Amazon Prime annual renewal - home account
Travel & Transport,0.55,Description references travel or transport (cab).,TXN-14245,Outstation cab DEL-NCR client visit - full day rental
Travel & Transport,0.55,Description references travel or transport (bus).,CLM-14248,DocuSign Business Pro annual - 500 envelope pack
Cloud Infrastructure,0.84,"Description references cloud compute/storage terms (cloud, cdn).",TXN-14249,Cloudflare Enterprise DDoS annual - production CDN
Travel & Transport,0.84,"Description references travel or transport (flight, boarding).",TXN-14250,Flight CCU-BOM for Mumbai client onboarding visit
SaaS Subscriptions,0.84,"Description references a known SaaS product or subscription term (salesforce, license).",TXN-14251,Salesforce CPQ add-on module annual license - 200 named users
